code,dictEntry,localAbbrev,dictionaryCategoryId,displayKey,sortOrder,isActive
INFLUENZA_VIRUS_A_H1_RNA_DETECTED,INFLUENZA VIRUS A/H1 RNA DETECTED,,3,,200,true
INFLUENZA_VIRUS_A_H5_RNA_DETECTED,INFLUENZA VIRUS A/H5 RNA DETECTED,,3,,300,true
ABI_7000,ABI 7000,,3,,27300,false
PATEUSE,Pateuse,PATEUSE,38,dictionary.result.Pateuse,52000,true
GP160,GP160,GP160,38,dictionary.result.GP160,60000,true
P66,P66,P66,38,dictionary.result.P66,60100,true
P55,P55,P55,38,dictionary.result.P55,64000,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,FINAL INTERPRETATION: These results most closely indicate the presence of HIV-2 antibodies. Confirmation testing for HIV-2 will be performed at the Centers for Disease Control and Prevention on this current specimen. Please submit another specimen one month following the collection of the first specimen for repeat testing.,H25,3,,3700,true
NEGATIVE_NOT_LYSED,NEGATIVE (NOT LYSED),,3,,8600,true
POSITIVE_LYSED,POSITIVE (LYSED),,3,,8700,true
NO_SPORES_PRESENT,No Spores Present,,3,,8800,true
ACID_FAST_BACILLI,acid fast bacilli,,3,,10200,true
PRESENT,PRESENT,,3,,10300,true
MYCOBACTERIUM_NOT_SUGGESTIVE_OF_M_TUBERCULOSIS,Mycobacterium not suggestive of M tuberculosis,,3,,10500,true
MYCOBACTERIUM_FORTUITUM,Mycobacterium fortuitum,,3,,10600,true
MYCOBACTERIUM_KANSASII,Mycobacterium kansasii,,3,,10700,true
MYCOBACTERIUM_SPECIES,Mycobacterium species,,3,,10800,true
1+_RARE,1+ (rare),,3,,11100,true
2+_FEW,2+ (few),,3,,11200,true
3+_MODERATE,3+ (moderate),,3,,11300,true
4+_NUMEROUS,4+ (numerous),,3,,11400,true
PENDING,PENDING,,3,,11900,true
DETECTED,DETECTED,,3,,9000,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,FINAL INTERPRETATION: These results most closely indicate the presence of HIV antibodies (without differentiation). Please submit another specimen one month following the first specimen for repeat testing. This subsequent specimen may allow for HIV antibody confirmation and differentiation.,H26,3,,3800,true
PRESUMPTIVE_FOR_BACILLUS_ANTHRACIS,Presumptive for Bacillus Anthracis,,3,,9200,true
BACILLUS_ANTHRACIS,Bacillus anthracis,,3,,9300,true
FLUORESCENCE_NOT_DETECTED,FLUORESCENCE NOT DETECTED,,3,,9900,false
NOT_TESTED,NOT TESTED,,3,,10000,true
WARNING:_PCR_RESULTS_ARE_FOR_RESEARCH_USE_ONLY_AND,WARNING: PCR results are FOR RESEARCH USE ONLY and should not be used for diagnosis of disease. Patient management decisions must be based on appropriate findings by a physician and the clinical condition of the patient.,,3,,10100,true
MYCOBACTERIUM_TUBERCULOSIS_COMPLEX,Mycobacterium tuberculosis complex,,3,,10900,true
MYCOBACTERIUM_GORDONAE,Mycobacterium gordonae,,3,,11000,true
RESISTANT,RESISTANT,,3,,11600,true
UNINTERPRETABLE,UNINTERPRETABLE,,3,,11700,true
MOST_CLOSELY_RESEMBLES,Most Closely Resembles,,3,,12400,true
PRESUMPTIVE,PRESUMPTIVE,,3,,12500,true
_,-,,3,,14300,true
NEISSERIA_GONORRHOEAE_NOT_FOUND,Neisseria gonorrhoeae not found,,3,,5600,true
IMPORTANT:_YOU_ARE_LEGALLY_REQUIRED_TO_RETURN_A_CA,IMPORTANT: You are legally required to return a case report form. See enclosures.,,3,,5700,true
ACID_FAST_BACILLI_PRESENT,acid fast bacilli present,,3,,12200,true
ACID_FAST_BACILLI_NOT_FOUND,acid fast bacilli not found,,3,,12300,true
+__,+/-,,3,,14100,true
REDUCED_SUSCEPTIBILITY,REDUCED SUSCEPTIBILITY,,3,,14900,true
INTERMEDIATE,INTERMEDIATE,,3,,6500,true
REPEATEDLY_REACTIVE,REPEATEDLY REACTIVE,,3,,5100,true
NEISSERIA_GONORRHOEAE_PRESENT,Neisseria gonorrhoeae present,,3,,5300,true
WEAKLY_REACTIVE,Weakly Reactive,,3,,15000,true
NO_INTERPRETATION,No interpretation,NI,3,,16900,true
<2,<2,<2,3,,20900,true
4,4,4,3,,21000,true
8,8,8,3,,21100,true
>16,>16,>16,3,,21200,true
NO_GROWTH_PRESENT,No growth present,,3,,24900,true
MOTILE,Motile,,3,,25000,true
MOTILITY_TEST_INCONCLUSIVE,Motility test inconclusive,,3,,25100,true
FLUORESCENCE_DETECTED,Fluorescence detected,,3,,26500,true
BACILLUS_ANTHRACIS_DNA_DETECTED,Bacillus anthracis DNA detected,,3,,26600,true
INCONCLUSIVE_FOR_BACILLUS_ANTHRACIS_DNA,Inconclusive for Bacillus anthracis DNA,,3,,26700,true
NO_BACILLUS_ANTHRACIS_DNA_DETECTED,No Bacillus anthracis DNA detected,,3,,26800,true
ENRICHMENT,Enrichment,,3,,26900,true
RECOVERED_ISOLATE,Recovered isolate,,3,,27000,true
SAMPLE_WASH_OR_EXTRACT,Sample wash or extract,,3,,27100,true
LIGHT_CYCLER,Light cycler,,3,,27200,true
I_CYCLER,I cycler,,3,,27400,true
CELL_LYSATES,Cell lysates,,3,,27500,true
MASTERPURE_COMPLETE_RNA_AND_DNA_PURIFICATION,MasterPure complete RNA and DNA purification,,3,,27600,true
SPORE_PREP,Spore prep,,3,,27700,true
ROCHE_FAST_START_DNA_MASTER_HYRIDIZATION_PROBE_KIT,Roche Fast Start DNA Master Hyridization Probe Kit,,3,,27800,true
VARIABLE:_BACILLI_IN_NO_DISCERNABLE_PATTERN,Variable: Bacilli in no discernable pattern,,3,,30600,true
VARIABLE:_BACILLI_IN_CLUSTERS,Variable: Bacilli in clusters,,3,,30700,true
VARIABLE:_COCCI_IN_CHAINS,Variable: Cocci in chains,,3,,30900,true
VARIABLE:_COCCI_IN_NO_DISCERNABLE_PATTERN,Variable: Cocci in no discernable pattern,,3,,31000,true
VARIABLE:_COCCI_IN_CLUSTERS,Variable: Cocci in clusters,,3,,31100,true
VARIABLE:_COCCI_IN_PAIRS,Variable: Cocci in pairs,,3,,31200,true
VARIABLE:_COCCOBACILLI_IN_CHAINS,Variable: Coccobacilli in chains,,3,,31300,true
INTERNAL,Internal,,36,,33400,true
WARNING,Warning,,36,,33500,true
UNSAT_INTERPRETATION,Unsat interpretation,,3,,1600,true
UNINTERPRETABLE_=_BANDS_ON_WESTERN_BLOT_SUGGEST_PO,UNINTERPRETABLE = Bands on Western Blot suggest possible HIV vaccine recipient.,H4,3,,1700,true
POSITIVE_=_SPECIFIC_CYTOPLASMIC_STAINING_PRESENT._,POSITIVE = Specific cytoplasmic staining present. Patient is positive for anti-HIV-1 antibody.,H5,3,,1800,true
NEGATIVE_=_NO_SPECIFIC_FLUORESCENT_STAINING_PRESEN,NEGATIVE = No specific fluorescent staining present. Patient is negative for HIV-1 antibody.,H6,3,,1900,true
INDETERMINATE_=_NON_SPECIFIC_STAINING_PRESENT._PLE,INDETERMINATE = Non-specific staining present. Please submit another specimen.,H7,3,,2000,true
NONREACTIVE_=_NO_ANTI_HIV_1_ANTIBODY_DETECTED.,NONREACTIVE = No anti-HIV-1 antibody detected.,H0,3,,2100,true
POSITIVE_=_ANY_TWO_OF_THE_FOLLOWING_BANDS_PRESENT:,"POSITIVE = Any two of the following bands present: p24, gp41, and gp120/160. Other viral bands may be present. Indicates patient is positive for anti-HIV-1 antibody.",H1,3,,2200,true
NEGATIVE_=_NO_BANDS_PRESENT_INDICATING_ABSENCE_OF_,NEGATIVE = No bands present indicating absence of anti-HIV-1 antibody. Please submit another OraSure (or serum) sample one month following the first sample for repeat testing.,H2,3,,2300,true
